symbol,start_date,end_date,initial_balance,final_balance,return_pct,num_trades,overbought,oversold,use_sma,sma_window,use_macd,error
DVN,2023-07-03,2024-07-02,10000.0,11138.619045257568,11.386190452575685,40.0,70.0,30.0,False,N/A,True,
DXCM,2023-07-03,2024-07-02,10000.0,8098.500030517578,-19.01499969482422,39.0,70.0,30.0,False,N/A,True,
FANG,2023-07-03,2024-07-02,10000.0,11674.080978393555,16.740809783935546,16.0,70.0,30.0,False,N/A,True,
DLR,2023-07-03,2024-07-02,10000.0,11048.09058380127,10.480905838012696,16.0,70.0,30.0,False,N/A,True,
DFS,2023-07-03,2024-07-02,10000.0,12610.020011901855,26.100200119018556,37.0,70.0,30.0,False,N/A,True,
DG,2023-07-03,2024-07-02,10000.0,6710.359428405762,-32.896405715942386,47.0,70.0,30.0,False,N/A,True,
DLTR,2023-07-03,2024-07-02,10000.0,7232.0400314331055,-27.679599685668943,71.0,70.0,30.0,False,N/A,True,
D,2023-07-03,2024-07-02,10000.0,9548.71907043457,-4.512809295654297,41.0,70.0,30.0,False,N/A,True,
DPZ,2023-07-03,2024-07-02,10000.0,10029.389617919922,0.29389617919921873,13.0,70.0,30.0,False,N/A,True,
DOV,2023-07-03,2024-07-02,10000.0,10929.959732055664,9.299597320556641,33.0,70.0,30.0,False,N/A,True,
DOW,2023-07-03,2024-07-02,10000.0,10965.330322265625,9.65330322265625,23.0,70.0,30.0,False,N/A,True,
DHI,2023-07-03,2024-07-02,10000.0,9658.43977355957,-3.4156022644042965,18.0,70.0,30.0,False,N/A,True,
DTE,2023-07-03,2024-07-02,10000.0,11043.349838256836,10.43349838256836,38.0,70.0,30.0,False,N/A,True,
DUK,2023-07-03,2024-07-02,10000.0,11120.408836364746,11.204088363647461,17.0,70.0,30.0,False,N/A,True,
DD,2023-07-03,2024-07-02,10000.0,10254.04133605957,2.540413360595703,28.0,70.0,30.0,False,N/A,True,
EMN,2023-07-03,2024-07-02,10000.0,9877.169044494629,-1.2283095550537109,26.0,70.0,30.0,False,N/A,True,
ETN,2023-07-03,2024-07-02,10000.0,10430.52017211914,4.305201721191406,8.0,70.0,30.0,False,N/A,True,
EBAY,2023-07-03,2024-07-02,10000.0,11457.200527191162,14.57200527191162,21.0,70.0,30.0,False,N/A,True,
ECL,2023-07-03,2024-07-02,10000.0,11047.809600830078,10.478096008300781,24.0,70.0,30.0,False,N/A,True,
EIX,2023-07-03,2024-07-02,10000.0,9818.029426574707,-1.8197057342529295,25.0,70.0,30.0,False,N/A,True,
EW,2023-07-03,2024-07-02,10000.0,9708.590980529785,-2.9140901947021485,49.0,70.0,30.0,False,N/A,True,
EA,2023-07-03,2024-07-02,10000.0,11110.710342407227,11.107103424072266,41.0,70.0,30.0,False,N/A,True,
ELV,2023-07-03,2024-07-02,10000.0,10176.130004882812,1.761300048828125,4.0,70.0,30.0,False,N/A,True,
LLY,2023-07-03,2024-07-02,10000.0,14008.699768066406,40.08699768066406,13.0,70.0,30.0,False,N/A,True,
EMR,2023-07-03,2024-07-02,10000.0,10402.360214233398,4.023602142333985,28.0,70.0,30.0,False,N/A,True,
ENPH,2023-07-03,2024-07-02,10000.0,7620.289855957031,-23.79710144042969,44.0,70.0,30.0,False,N/A,True,
ETR,2023-07-03,2024-07-02,10000.0,10299.159400939941,2.9915940093994142,24.0,70.0,30.0,False,N/A,True,
EOG,2023-07-03,2024-07-02,10000.0,11456.759216308594,14.567592163085937,30.0,70.0,30.0,False,N/A,True,
EPAM,2023-07-03,2024-07-02,10000.0,7318.23991394043,-26.817600860595704,53.0,70.0,30.0,False,N/A,True,
EQT,2023-07-03,2024-07-02,10000.0,10335.628608703613,3.3562860870361333,42.0,70.0,30.0,False,N/A,True,
EFX,2023-07-03,2024-07-02,10000.0,11504.480163574219,15.04480163574219,51.0,70.0,30.0,False,N/A,True,
EQIX,2023-07-03,2024-07-02,10000.0,9645.190124511719,-3.5480987548828127,45.0,70.0,30.0,False,N/A,True,
EQR,2023-07-03,2024-07-02,10000.0,9198.700370788574,-8.012996292114257,24.0,70.0,30.0,False,N/A,True,
ESS,2023-07-03,2024-07-02,10000.0,9802.519470214844,-1.9748052978515624,25.0,70.0,30.0,False,N/A,True,
EL,2023-07-03,2024-07-02,10000.0,7084.5699462890625,-29.154300537109375,60.0,70.0,30.0,False,N/A,True,
ETSY,2023-07-03,2024-07-02,10000.0,7287.450233459473,-27.125497665405273,42.0,70.0,30.0,False,N/A,True,
EG,2023-07-03,2024-07-02,10000.0,11112.709899902344,11.127098999023438,18.0,70.0,30.0,False,N/A,True,
EVRG,2023-07-03,2024-07-02,10000.0,9638.87045288086,-3.6112954711914065,33.0,70.0,30.0,False,N/A,True,
ES,2023-07-03,2024-07-02,10000.0,9579.470390319824,-4.205296096801757,44.0,70.0,30.0,False,N/A,True,
EXC,2023-07-03,2024-07-02,10000.0,10597.590801239014,5.9759080123901365,33.0,70.0,30.0,False,N/A,True,
EXPE,2023-07-03,2024-07-02,10000.0,10179.799606323242,1.7979960632324221,24.0,70.0,30.0,False,N/A,True,
EXPD,2023-07-03,2024-07-02,10000.0,10889.55990600586,8.895599060058593,24.0,70.0,30.0,False,N/A,True,
EXR,2023-07-03,2024-07-02,10000.0,10867.539855957031,8.675398559570313,45.0,70.0,30.0,False,N/A,True,
XOM,2023-07-03,2024-07-02,10000.0,9217.000274658203,-7.829997253417968,9.0,70.0,30.0,False,N/A,True,
FFIV,2023-07-03,2024-07-02,10000.0,10707.569412231445,7.075694122314453,21.0,70.0,30.0,False,N/A,True,
FDS,2023-07-03,2024-07-02,10000.0,12171.080474853516,21.710804748535157,31.0,70.0,30.0,False,N/A,True,
FICO,2023-07-03,2024-07-02,10000.0,12204.21044921875,22.0421044921875,14.0,70.0,30.0,False,N/A,True,
FAST,2023-07-03,2024-07-02,10000.0,10864.961071014404,8.649610710144042,29.0,70.0,30.0,False,N/A,True,
FRT,2023-07-03,2024-07-02,10000.0,10508.300033569336,5.0830003356933595,15.0,70.0,30.0,False,N/A,True,
FDX,2023-07-03,2024-07-02,10000.0,11105.770401000977,11.057704010009765,30.0,70.0,30.0,False,N/A,True,
FIS,2023-07-03,2024-07-02,10000.0,10663.368743896484,6.633687438964844,24.0,70.0,30.0,False,N/A,True,
FITB,2023-07-03,2024-07-02,10000.0,13331.840118408203,33.31840118408203,22.0,70.0,30.0,False,N/A,True,
FSLR,2023-07-03,2024-07-02,10000.0,12037.410079956055,20.374100799560544,31.0,70.0,30.0,False,N/A,True,
FE,2023-07-03,2024-07-02,10000.0,9836.211219787598,-1.6378878021240235,25.0,70.0,30.0,False,N/A,True,
